Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
putlocker.is,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
superuser.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
kickass.to,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
jalopnik.com,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
medium.com,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
qz.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
squarespace.com,0,0,1,5,0,0,0,0,0,0,1,1,0,0,1,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
elitedaily.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0
putlocker.is,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
gizmodo.com,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0
depositphotos.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
mylust.com,0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0
kakaku.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0
techcrunch.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,0,1,1,0,0,1,0,0
tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0
nypost.com,0,0,1,4,0,0,1,0,0,0,1,1,0,0,1,0,0
cheezburger.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
getpocket.com,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0
tunein.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0
